#,Name,Tackles,Errors leading to goal,Clean sheets,Blocked shots,Interceptions,Clearances,Dribbled past,Errors leading to shot,Blocked shots.1,Aerial duels won %,Aerial duels won,Fouls,PC1,PC2,Cluster
191,Max Lowe,1.64,0.07,0.11,0.82,1.64,4.04,24,2,23,56.0,42,27,2.4835138221824717,1.2016577389734568,2
192,Joel Ward,0.47,0.0,0.0,0.13,0.73,1.87,2,0,2,63.16,12,6,-1.9579509204849945,-0.49367594882212734,1
193,Jake Clarke-Salter,0.57,0.14,0.07,0.21,0.43,4.29,2,2,3,61.7,29,3,-0.7812038730330118,-1.0164850792124582,1
194,Bright Osayi-Samuel,1.04,0.04,0.07,0.07,0.56,1.22,10,1,2,47.92,23,22,-1.0444029884468864,1.2203037032417077,1
195,Paddy McNair,0.71,0.0,0.0,0.0,0.29,2.21,2,0,0,36.36,12,8,-2.6369505107840863,0.20642403479691282,1
196,Christ Makosso,1.67,0.5,0.33,0.67,0.83,5.33,2,3,4,60.61,20,2,1.6614094783082882,-0.8915234469526122,2
197,Gabriel Otegbayo,1.03,0.09,0.06,0.66,0.77,5.03,5,3,23,50.38,66,37,1.4703126464894367,-0.24744952680746377,0
198,Ishé Samuels-Smith,1.83,0.0,0.0,0.0,0.33,2.33,2,0,0,33.33,3,2,-2.4505161031114144,1.0779997740356095,1
199,Eric Bocat,1.03,0.03,0.14,0.41,1.21,1.97,11,1,12,52.17,24,13,-0.2444675096316157,0.5102073933899536,1
200,Ryan Andrews,0.33,0.0,0.0,0.0,0.0,0.33,0,0,0,0.0,0,1,-4.197754923616465,0.5200617417604484,1
201,Alfons Sampsted,0.33,0.0,0.0,0.0,0.83,0.83,1,0,0,30.0,3,2,-2.8702652888574747,0.06976559946609556,1
202,Elliott Moore,1.0,0.0,0.0,1.0,0.0,6.5,1,0,2,57.14,4,1,-1.3164122213505594,-1.9303281257904126,1
203,Greg Leigh,0.94,0.0,0.0,0.19,0.81,3.69,6,0,3,52.63,30,3,-1.318156900233503,-0.22460368961114757,1
204,Kévin Keben Biakolo,0.93,0.03,0.03,0.41,0.79,4.52,9,1,12,58.44,45,17,0.020957883424646107,-0.2462114839226914,0
205,Danny McNamara,0.56,0.0,0.06,0.06,0.69,1.63,4,0,1,38.71,12,13,-2.1298342947335973,0.31453547233292867,1
206,Cathal McCarthy,1.0,0.0,0.0,0.5,0.83,2.17,1,0,3,42.11,8,5,-1.725727626190191,-0.2828035387121826,1
207,Liam Palmer,1.31,0.0,0.09,0.42,0.82,2.51,19,0,19,50.7,36,37,0.28229849601790724,1.583766403500957,2
208,Victor Kristiansen,1.2,0.0,0.0,0.0,0.2,1.2,6,0,0,100.0,4,0,-1.9198979201372306,0.037030041703156276,1
209,Matthew Litherland,1.2,0.0,0.4,0.2,0.2,0.4,6,0,1,33.33,3,3,-2.7480176223900736,0.9676184833759631,1
210,Connor O'Riordan,1.6,0.0,0.0,0.2,0.4,4.0,2,0,1,57.14,16,2,-1.6162257520124466,-0.023919450947291376,1
211,Esquerdinha,1.06,0.0,0.0,0.06,0.44,1.63,9,0,1,47.37,9,4,-2.1178649899568436,0.7563199502325673,1
212,Haydon Roberts,0.25,0.0,0.0,0.0,0.33,0.75,1,0,0,53.85,7,4,-2.9352993662568037,-0.2788310891098368,1
213,Harry Pickering,0.47,0.0,0.07,0.0,0.13,2.33,2,0,0,54.76,23,9,-2.476821244554791,-0.2840899416390365,1
214,Liam Morrison,0.67,0.0,0.08,0.75,1.5,6.75,5,0,9,55.71,39,10,0.3859359547567811,-1.6459982614562483,0
215,Aji Alese,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0,0.0,0,0,-3.8909436624056264,-0.23271041202818565,1
216,Reece Burke,0.59,0.0,0.12,0.41,0.88,4.35,1,0,7,52.54,31,15,-0.9693593873928444,-0.9554500046045594,1
217,George Pratt,1.0,0.0,0.3,0.6,0.7,4.8,3,0,6,28.57,16,4,-1.4297026259753551,-0.6247408745322807,1
218,Miguel Ángel Brau,0.44,0.0,0.0,0.11,0.11,0.78,0,0,1,57.14,4,1,-3.066196067749946,-0.4015185318144819,1
219,Mads Roerslev,0.89,0.0,0.11,0.22,0.22,1.78,3,0,2,25.0,6,6,-2.7441028369756952,0.39957571265787944,1
220,Kealey Adamson,1.14,0.0,0.0,0.0,0.14,1.43,3,0,0,22.22,2,5,-3.0529922744079525,0.9484735699774105,1
