#,Name,Team,Position,Age,Market Value (€m),Contract Expiry,Tackles,Errors leading to goal,Clean sheets,Blocked shots,Interceptions,Clearances,Dribbled past,Errors leading to shot,Blocked shots.1,Aerial duels won %,Aerial duels won,Fouls,Minutes played,Appearances,Started,Dispossessed,Accurate passes,Accurate passes %,Long balls (accurate),Accurate long balls %,Key passes,Tackles_p90,Interceptions_p90,Clearances_p90,Blocked shots_p90,Errors leading to goal_p90,Errors leading to shot_p90,Dribbled past_p90,Aerial duels won_p90,Fouls_p90,Dispossessed_p90,Accurate passes_p90,Long balls (accurate)_p90,Key passes_p90,Clean sheets_p90,PC1,PC2,Cluster
48,Bosun Lawal,Preston North End,Centre-Back,23,1.5,2027,1.63,0.0,0.19,0.48,0.52,3.19,11,0,13,65.26,62,21,2123,27,25,18,891,83.19,71,50.71,9,0.06910032972209137,0.02204427696655676,0.13523316062176166,0.0203485633537447,0.0,0.0,0.46632124352331605,2.628356099858691,0.8902496467263307,0.7630711257654262,37.7720207253886,3.0098916627414036,0.3815355628827131,0.008054639660857277,0.21532331817405287,-1.1910273021715285,2
49,Sean McLoughlin,Hull City,Centre-Back,28,1.5,2026,1.32,0.0,0.25,0.91,1.8,7.84,26,1,40,61.44,196,25,3911,44,44,7,1516,77.94,109,32.15,11,0.03037586295065201,0.041421631296343644,0.18041421631296342,0.0209409358220404,0.0,0.02301201738685758,0.5983124520582971,4.510355407824086,0.5753004346714395,0.16108412170800307,34.88621835847609,2.5083098951674763,0.2531321912554334,0.005753004346714395,0.5793115116453069,-0.2342455357281029,2
51,Terry Devlin,Oxford United,Right-Back,24,1.0,2026,2.05,0.0,0.11,0.24,1.42,3.32,24,0,9,63.64,70,23,2562,38,29,16,766,70.93,47,32.19,22,0.07201405152224824,0.04988290398126464,0.11662763466042154,0.008430913348946136,0.0,0.0,0.8430913348946136,2.459016393442623,0.8079625292740047,0.5620608899297425,26.90866510538642,1.6510538641686183,0.7728337236533959,0.003864168618266979,-2.427953848583132,0.4951855077313394,1
52,Ben Cabango,Swansea City,Centre-Back,25,2.0,2027,1.64,0.02,0.27,0.69,1.07,7.0,24,5,31,58.43,156,25,4035,45,45,2,2428,83.93,128,31.76,11,0.036579925650557614,0.023866171003717473,0.15613382899628253,0.015390334572490704,0.0004460966542750929,0.11152416356877323,0.5353159851301115,3.4795539033457246,0.5576208178438662,0.04460966542750929,54.15613382899628,2.8550185873605947,0.2453531598513011,0.006022304832713755,1.4457663680304542,-1.5716392813733862,2
53,Tyler Bindon,Plymouth Argyle,Centre-Back,22,1.0,2026,1.32,0.0,0.12,0.72,1.4,6.96,8,1,18,63.04,87,21,2029,25,22,5,1107,86.55,55,36.18,5,0.058551010349926075,0.06209955643173977,0.308723509117792,0.03193691473632331,0.0,0.04435682602267127,0.35485460818137016,3.8590438639724,0.9314933464760966,0.22178413011335635,49.10300640709709,2.43962543124692,0.22178413011335635,0.005322819122720552,1.975482093073515,0.4180013881414074,2
54,Ruairi McConville,Coventry City,Centre-Back,23,0.8,2027,1.12,0.0,0.28,0.76,0.96,5.88,8,2,19,65.81,77,11,2169,25,24,5,1119,86.88,64,47.41,7,0.046473029045643155,0.03983402489626556,0.24398340248962655,0.03153526970954357,0.0,0.08298755186721991,0.33195020746887965,3.1950207468879666,0.45643153526970953,0.20746887966804978,46.43153526970954,2.6556016597510372,0.2904564315352697,0.011618257261410789,2.5745806856641926,-0.725704980716117,2
55,Alfie Jones,Hull City,Centre-Back,28,1.5,2026,1.59,0.0,0.23,0.82,0.86,4.18,9,0,18,51.22,42,17,1886,22,22,6,1067,90.19,42,39.62,3,0.07587486744432662,0.04103923647932131,0.1994697773064687,0.03913043478260869,0.0,0.0,0.4294803817603393,2.00424178154825,0.8112407211028632,0.2863202545068929,50.91728525980912,2.00424178154825,0.14316012725344646,0.010975609756097562,1.0052594586623895,-0.25687130569649597,2
56,Jimmy Dunne,Queens Park Rangers,Centre-Back,27,1.5,2026,1.23,0.0,0.23,0.69,0.85,6.77,17,0,27,62.98,182,34,3482,39,39,13,1322,79.16,111,37.88,20,0.03179207352096496,0.021970132107983917,0.17498564043653073,0.017834577828834002,0.0,0.0,0.43940264215967834,4.704192992533027,0.8788052843193567,0.3360137851809305,34.17001723147616,2.8690407811602525,0.5169442848937392,0.005944859276278002,0.469920425392738,-0.9379875312066931,2
58,Zak Swanson,Oxford United,Right-Back,24,1.0,2026,1.91,0.0,0.09,0.18,1.12,2.39,17,0,6,60.27,44,20,2226,33,27,8,778,79.07,75,48.08,21,0.07722371967654985,0.04528301886792453,0.09663072776280324,0.007277628032345013,0.0,0.0,0.6873315363881402,1.778975741239892,0.8086253369272237,0.32345013477088946,31.455525606469003,3.0323450134770886,0.8490566037735848,0.0036388140161725067,-0.9252573401556042,-0.9946242310820385,1
59,Conor Shaughnessy,Leeds United,Centre-Back,28,0.8,2025,0.68,0.0,0.32,0.74,0.84,5.53,1,1,14,77.91,67,6,1147,19,12,2,449,80.32,23,33.82,2,0.05335658238884046,0.06591107236268527,0.4339145597210114,0.05806451612903226,0.0,0.07846556233653008,0.07846556233653008,5.257192676547516,0.4707933740191805,0.15693112467306017,35.23103748910201,1.804707933740192,0.15693112467306017,0.025108979947689628,3.749680385497847,2.838485382106856,0
